"url","Single Review 1","Single Review 3","_url_input"
"https://www.kupujemprodajem.com/review.php?action=list&return_url=MjU4OTM4LTEtdGFsbC1kcmFnYW4tc2Eta2FyYWJ1cm1lLW9jZW5lLmh0bQ%3D%3D&data%5Buser_id%5D=258938&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1","06.04.2020","Vrhovi strele za lov i ribolov za samostrel i luk.","https://www.kupujemprodajem.com/review.php?action=list&return_url=MjU4OTM4LTEtdGFsbC1kcmFnYW4tc2Eta2FyYWJ1cm1lLW9jZW5lLmh0bQ%3D%3D&data%5Buser_id%5D=258938&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1"
"https://www.kupujemprodajem.com/review.php?action=list&return_url=MjU4OTM4LTEtdGFsbC1kcmFnYW4tc2Eta2FyYWJ1cm1lLW9jZW5lLmh0bQ%3D%3D&data%5Buser_id%5D=258938&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1","03.04.2020","HC-05 HC05 Serial 6 Pin Bluetooth Blutut 6p Arduino Karaburm","https://www.kupujemprodajem.com/review.php?action=list&return_url=MjU4OTM4LTEtdGFsbC1kcmFnYW4tc2Eta2FyYWJ1cm1lLW9jZW5lLmh0bQ%3D%3D&data%5Buser_id%5D=258938&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1"
"https://www.kupujemprodajem.com/review.php?action=list&return_url=MjU4OTM4LTEtdGFsbC1kcmFnYW4tc2Eta2FyYWJ1cm1lLW9jZW5lLmh0bQ%3D%3D&data%5Buser_id%5D=258938&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1","03.04.2020","50Wx2 TPA3116D2 stereo 4.5-27V pojačalo Arduino Karaburma 5","https://www.kupujemprodajem.com/review.php?action=list&return_url=MjU4OTM4LTEtdGFsbC1kcmFnYW4tc2Eta2FyYWJ1cm1lLW9jZW5lLmh0bQ%3D%3D&data%5Buser_id%5D=258938&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1"
"https://www.kupujemprodajem.com/review.php?action=list&return_url=MjU4OTM4LTEtdGFsbC1kcmFnYW4tc2Eta2FyYWJ1cm1lLW9jZW5lLmh0bQ%3D%3D&data%5Buser_id%5D=258938&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1","03.04.2020","MAX30100 30102 Heart Rate Oxiometar Senzor Arduino Karaburma","https://www.kupujemprodajem.com/review.php?action=list&return_url=MjU4OTM4LTEtdGFsbC1kcmFnYW4tc2Eta2FyYWJ1cm1lLW9jZW5lLmh0bQ%3D%3D&data%5Buser_id%5D=258938&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1"
"https://www.kupujemprodajem.com/review.php?action=list&return_url=MjU4OTM4LTEtdGFsbC1kcmFnYW4tc2Eta2FyYWJ1cm1lLW9jZW5lLmh0bQ%3D%3D&data%5Buser_id%5D=258938&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1","02.04.2020","Strelice za pištolj 50-80funti za lov i vežbu 12 kom","https://www.kupujemprodajem.com/review.php?action=list&return_url=MjU4OTM4LTEtdGFsbC1kcmFnYW4tc2Eta2FyYWJ1cm1lLW9jZW5lLmh0bQ%3D%3D&data%5Buser_id%5D=258938&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1"
"https://www.kupujemprodajem.com/review.php?action=list&return_url=MjU4OTM4LTEtdGFsbC1kcmFnYW4tc2Eta2FyYWJ1cm1lLW9jZW5lLmh0bQ%3D%3D&data%5Buser_id%5D=258938&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1","02.04.2020","HC-05 HC05 Serial 6 Pin Bluetooth Blutut 6p Arduino Karaburm","https://www.kupujemprodajem.com/review.php?action=list&return_url=MjU4OTM4LTEtdGFsbC1kcmFnYW4tc2Eta2FyYWJ1cm1lLW9jZW5lLmh0bQ%3D%3D&data%5Buser_id%5D=258938&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1"
"https://www.kupujemprodajem.com/review.php?action=list&return_url=MjU4OTM4LTEtdGFsbC1kcmFnYW4tc2Eta2FyYWJ1cm1lLW9jZW5lLmh0bQ%3D%3D&data%5Buser_id%5D=258938&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1","02.04.2020","Kapacitivni TTP223 Tač prekidač TTL 4 moda Arduino Karaburma","https://www.kupujemprodajem.com/review.php?action=list&return_url=MjU4OTM4LTEtdGFsbC1kcmFnYW4tc2Eta2FyYWJ1cm1lLW9jZW5lLmh0bQ%3D%3D&data%5Buser_id%5D=258938&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1"
"https://www.kupujemprodajem.com/review.php?action=list&return_url=MjU4OTM4LTEtdGFsbC1kcmFnYW4tc2Eta2FyYWJ1cm1lLW9jZW5lLmh0bQ%3D%3D&data%5Buser_id%5D=258938&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1","01.04.2020","ESP8266 CH340 NodeMcu V3 Lua WIFI baza Arduino - Karaburma","https://www.kupujemprodajem.com/review.php?action=list&return_url=MjU4OTM4LTEtdGFsbC1kcmFnYW4tc2Eta2FyYWJ1cm1lLW9jZW5lLmh0bQ%3D%3D&data%5Buser_id%5D=258938&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1"
"https://www.kupujemprodajem.com/review.php?action=list&return_url=MjU4OTM4LTEtdGFsbC1kcmFnYW4tc2Eta2FyYWJ1cm1lLW9jZW5lLmh0bQ%3D%3D&data%5Buser_id%5D=258938&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1","31.03.2020","100W regulator podizač DC 3-35V step Up Arduino Karaburma","https://www.kupujemprodajem.com/review.php?action=list&return_url=MjU4OTM4LTEtdGFsbC1kcmFnYW4tc2Eta2FyYWJ1cm1lLW9jZW5lLmh0bQ%3D%3D&data%5Buser_id%5D=258938&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1"
"https://www.kupujemprodajem.com/review.php?action=list&return_url=MjU4OTM4LTEtdGFsbC1kcmFnYW4tc2Eta2FyYWJ1cm1lLW9jZW5lLmh0bQ%3D%3D&data%5Buser_id%5D=258938&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1","18.03.2020","PWM puls signal generator regulator LCD Arduino Karaburma","https://www.kupujemprodajem.com/review.php?action=list&return_url=MjU4OTM4LTEtdGFsbC1kcmFnYW4tc2Eta2FyYWJ1cm1lLW9jZW5lLmh0bQ%3D%3D&data%5Buser_id%5D=258938&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1"
