"url","Single Review 1","Single Review 3","_url_input"
"https://www.kupujemprodajem.com/review.php?action=list&return_url=MTExNjYyNC0xLXRhbGwtZWxlY3Ryb25pYy1jZW50ZXItb2NlbmUuaHRt&data%5Buser_id%5D=1116624&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1","02.04.2020","USB punjač za auto sa dva USB porta i voltmetrom","https://www.kupujemprodajem.com/review.php?action=list&return_url=MTExNjYyNC0xLXRhbGwtZWxlY3Ryb25pYy1jZW50ZXItb2NlbmUuaHRt&data%5Buser_id%5D=1116624&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1"
"https://www.kupujemprodajem.com/review.php?action=list&return_url=MTExNjYyNC0xLXRhbGwtZWxlY3Ryb25pYy1jZW50ZXItb2NlbmUuaHRt&data%5Buser_id%5D=1116624&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1","18.03.2020","Krokodil štipaljke za kleme akumulatora","https://www.kupujemprodajem.com/review.php?action=list&return_url=MTExNjYyNC0xLXRhbGwtZWxlY3Ryb25pYy1jZW50ZXItb2NlbmUuaHRt&data%5Buser_id%5D=1116624&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1"
"https://www.kupujemprodajem.com/review.php?action=list&return_url=MTExNjYyNC0xLXRhbGwtZWxlY3Ryb25pYy1jZW50ZXItb2NlbmUuaHRt&data%5Buser_id%5D=1116624&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1","14.03.2020","Mrežni adapter USA na EU","https://www.kupujemprodajem.com/review.php?action=list&return_url=MTExNjYyNC0xLXRhbGwtZWxlY3Ryb25pYy1jZW50ZXItb2NlbmUuaHRt&data%5Buser_id%5D=1116624&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1"
"https://www.kupujemprodajem.com/review.php?action=list&return_url=MTExNjYyNC0xLXRhbGwtZWxlY3Ryb25pYy1jZW50ZXItb2NlbmUuaHRt&data%5Buser_id%5D=1116624&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1","13.03.2020","Ugradno kućište za auto osigurače-4 mesta","https://www.kupujemprodajem.com/review.php?action=list&return_url=MTExNjYyNC0xLXRhbGwtZWxlY3Ryb25pYy1jZW50ZXItb2NlbmUuaHRt&data%5Buser_id%5D=1116624&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1"
"https://www.kupujemprodajem.com/review.php?action=list&return_url=MTExNjYyNC0xLXRhbGwtZWxlY3Ryb25pYy1jZW50ZXItb2NlbmUuaHRt&data%5Buser_id%5D=1116624&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1","10.03.2020","LED dioda 5mm plava ultra bright-100 komada","https://www.kupujemprodajem.com/review.php?action=list&return_url=MTExNjYyNC0xLXRhbGwtZWxlY3Ryb25pYy1jZW50ZXItb2NlbmUuaHRt&data%5Buser_id%5D=1116624&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1"
"https://www.kupujemprodajem.com/review.php?action=list&return_url=MTExNjYyNC0xLXRhbGwtZWxlY3Ryb25pYy1jZW50ZXItb2NlbmUuaHRt&data%5Buser_id%5D=1116624&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1","09.03.2020","Klešta sečice 130mm","https://www.kupujemprodajem.com/review.php?action=list&return_url=MTExNjYyNC0xLXRhbGwtZWxlY3Ryb25pYy1jZW50ZXItb2NlbmUuaHRt&data%5Buser_id%5D=1116624&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1"
"https://www.kupujemprodajem.com/review.php?action=list&return_url=MTExNjYyNC0xLXRhbGwtZWxlY3Ryb25pYy1jZW50ZXItb2NlbmUuaHRt&data%5Buser_id%5D=1116624&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1","28.02.2020","Vremenski rele 230VAC 0-30 minuta","https://www.kupujemprodajem.com/review.php?action=list&return_url=MTExNjYyNC0xLXRhbGwtZWxlY3Ryb25pYy1jZW50ZXItb2NlbmUuaHRt&data%5Buser_id%5D=1116624&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1"
"https://www.kupujemprodajem.com/review.php?action=list&return_url=MTExNjYyNC0xLXRhbGwtZWxlY3Ryb25pYy1jZW50ZXItb2NlbmUuaHRt&data%5Buser_id%5D=1116624&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1","28.02.2020","Prekidač 10x15mm 3A 250VAC crni","https://www.kupujemprodajem.com/review.php?action=list&return_url=MTExNjYyNC0xLXRhbGwtZWxlY3Ryb25pYy1jZW50ZXItb2NlbmUuaHRt&data%5Buser_id%5D=1116624&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1"
"https://www.kupujemprodajem.com/review.php?action=list&return_url=MTExNjYyNC0xLXRhbGwtZWxlY3Ryb25pYy1jZW50ZXItb2NlbmUuaHRt&data%5Buser_id%5D=1116624&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1","21.02.2020","Prekidač 30x22mm 16A 250VAC crveni","https://www.kupujemprodajem.com/review.php?action=list&return_url=MTExNjYyNC0xLXRhbGwtZWxlY3Ryb25pYy1jZW50ZXItb2NlbmUuaHRt&data%5Buser_id%5D=1116624&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1"
"https://www.kupujemprodajem.com/review.php?action=list&return_url=MTExNjYyNC0xLXRhbGwtZWxlY3Ryb25pYy1jZW50ZXItb2NlbmUuaHRt&data%5Buser_id%5D=1116624&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1","20.02.2020","Set krokodil štipaljki sa kablovima","https://www.kupujemprodajem.com/review.php?action=list&return_url=MTExNjYyNC0xLXRhbGwtZWxlY3Ryb25pYy1jZW50ZXItb2NlbmUuaHRt&data%5Buser_id%5D=1116624&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1"
